C64,is_high_regime,high_regime_days,days_since_last_pm,C33,dslp_x_hour,hour,hour_x_c33,is_special_recipe
C64_1,0,0.0,0.5623634259259259,4.0,7.310724537037037,13,52.0,0
C64_10,0,0.0,0.5585127314814815,4.0,7.26066550925926,13,52.0,0
C64_1009,0,0.0,1.0650868055555556,5.0,1.0650868055555556,1,5.0,0
C64_101,0,0.0,0.6608761574074073,4.0,9.91314236111111,15,60.0,0
C64_1010,0,0.0,1.077255787037037,5.0,1.077255787037037,1,5.0,0
C64_1011,0,0.0,1.0742928240740741,5.0,1.0742928240740741,1,5.0,0
C64_1013,0,0.0,1.070366898148148,5.0,1.070366898148148,1,5.0,0
C64_1014,0,0.0,1.0690474537037036,5.0,1.0690474537037036,1,5.0,0
C64_10148,1,1.905560185185185,1.905560185185185,4.0,40.01676388888889,21,84.0,0
C64_10149,1,1.906880787037037,1.906880787037037,4.0,40.044496527777774,21,84.0,0
C64_1015,0,0.0,1.067726851851852,5.0,1.067726851851852,1,5.0,0
C64_10152,1,1.9109097222222222,1.9109097222222222,4.0,40.129104166666664,21,84.0,0
C64_10153,1,1.9122303240740741,1.9122303240740741,4.0,40.15683680555556,21,84.0,0
C64_10154,1,1.9135844907407409,1.9135844907407409,4.0,40.18527430555556,21,84.0,0
C64_10156,1,1.9162939814814814,1.9162939814814814,4.0,40.24217361111111,21,84.0,0
C64_10157,1,1.9176134259259259,1.9176134259259259,4.0,42.18749537037037,22,88.0,0
C64_10158,1,1.91896875,1.91896875,4.0,42.2173125,22,88.0,0
C64_10159,1,1.9203229166666667,1.9203229166666667,4.0,42.24710416666667,22,88.0,0
C64_1016,0,0.0,1.0664074074074075,5.0,1.0664074074074075,1,5.0,0
C64_1017,0,0.0,1.0637662037037037,5.0,1.0637662037037037,1,5.0,0
C64_10173,1,1.8359224537037038,1.8359224537037038,4.0,36.71844907407407,20,80.0,0
C64_10175,1,1.8387280092592593,1.8387280092592593,4.0,36.77456018518519,20,80.0,0
C64_10176,1,1.8400833333333335,1.8400833333333335,4.0,36.80166666666667,20,80.0,0
C64_10177,1,1.841402777777778,1.841402777777778,4.0,36.82805555555556,20,80.0,0
C64_10179,1,1.8441134259259258,1.8441134259259258,4.0,36.882268518518515,20,80.0,0
C64_10180,1,1.8454328703703704,1.8454328703703704,4.0,36.90865740740741,20,80.0,0
C64_10182,1,1.8481423611111112,1.8481423611111112,4.0,36.96284722222222,20,80.0,0
C64_10183,1,1.849462962962963,1.849462962962963,4.0,36.98925925925926,20,80.0,0
C64_10184,1,1.850818287037037,1.850818287037037,4.0,37.01636574074074,20,80.0,0
C64_102,0,0.0,0.6581319444444444,4.0,9.871979166666666,15,60.0,0
C64_1021,0,0.0,1.0756122685185185,5.0,1.0756122685185185,1,5.0,0
C64_10220,1,1.6301134259259258,1.6301134259259258,4.0,24.451701388888885,15,60.0,0
C64_10221,1,1.6451435185185184,1.6451435185185184,4.0,24.677152777777774,15,60.0,0
C64_10222,1,1.6421574074074072,1.6421574074074072,4.0,24.63236111111111,15,60.0,0
C64_10225,1,1.6327789351851854,1.6327789351851854,4.0,24.49168402777778,15,60.0,0
C64_10226,1,1.634133101851852,1.634133101851852,4.0,24.51199652777778,15,60.0,0
C64_10228,1,1.6368078703703706,1.6368078703703706,4.0,24.55211805555556,15,60.0,0
C64_10229,1,1.638162037037037,1.638162037037037,4.0,24.572430555555556,15,60.0,0
C64_10230,1,1.6394814814814815,1.6394814814814815,4.0,24.592222222222222,15,60.0,0
C64_10231,1,1.6408368055555553,1.6408368055555553,4.0,24.61255208333333,15,60.0,0
C64_10232,1,1.643511574074074,1.643511574074074,4.0,24.65267361111111,15,60.0,0
C64_10246,1,1.6123541666666665,1.6123541666666665,4.0,22.572958333333332,14,56.0,0
C64_10247,1,1.6138124999999999,1.6138124999999999,4.0,22.593374999999998,14,56.0,0
C64_10248,1,1.6150972222222222,1.6150972222222222,4.0,22.611361111111112,14,56.0,0
C64_10250,1,1.6177037037037039,1.6177037037037039,4.0,22.647851851851854,14,56.0,0
C64_10252,1,1.6203090277777779,1.6203090277777779,4.0,22.68432638888889,14,56.0,0
C64_10254,1,1.622949074074074,1.622949074074074,4.0,22.721287037037037,14,56.0,0
C64_10255,1,1.624233796296296,1.624233796296296,4.0,22.739273148148143,14,56.0,0
C64_10256,1,1.6255532407407407,1.6255532407407407,4.0,24.383298611111112,15,60.0,0
C64_10257,1,1.6268391203703703,1.6268391203703703,4.0,24.402586805555554,15,60.0,0
C64_10271,1,1.589982638888889,1.589982638888889,4.0,22.259756944444444,14,56.0,0
