number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_min_split_gain,params_num_leaves,user_attrs_mean_best_iter,state
0,67.5224805671703,2026-07-16 11:10:37.152265,2026-07-16 11:10:54.530325,0 days 00:00:17.378060,0.5780093202212182,2,0.759195090518222,0.0017073967431528124,2.9154431891537547,0.015355286838886862,75,0.6011150117432088,244,297.0,COMPLETE
1,67.41282508271321,2026-07-16 11:10:54.530325,2026-07-16 11:11:01.476180,0 days 00:00:06.945855,0.6061695553391381,2,0.899465584480253,0.00541524411940254,0.016480446427978974,0.04170553216181044,98,0.5247564316322378,35,94.0,COMPLETE
2,67.46398945910134,2026-07-16 11:11:01.476180,2026-07-16 11:11:21.704460,0 days 00:00:20.228280,0.6460723242676091,3,0.4836963163912251,0.06672367170464207,1.382623217936987,0.018236581424556052,63,0.19967378215835974,96,247.0,COMPLETE
3,68.3372301209521,2026-07-16 11:11:21.704460,2026-07-16 11:11:59.312359,0 days 00:00:37.607899,0.5852620618436457,1,0.764526911140863,6.245139574743075,7.2866537374910445,0.023334818836184625,9,0.8083973481164611,164,178.0,COMPLETE
4,67.3926088813201,2026-07-16 11:11:59.312359,2026-07-16 11:12:17.508165,0 days 00:00:18.195806,0.5610191174223894,4,0.6640914962437607,0.0013726318898045872,4.337920697490942,0.012453219846912198,70,0.2587799816000169,52,353.0,COMPLETE
5,68.26093215762309,2026-07-16 11:12:17.509169,2026-07-16 11:12:25.212046,0 days 00:00:07.702877,0.5924272277627636,7,0.7280261676059678,1.2604664585649468,5.727904470799623,0.036385753170854684,54,0.8948273504276488,101,,PRUNED
6,69.57845422833536,2026-07-16 11:12:25.212046,2026-07-16 11:12:37.391672,0 days 00:00:12.179626,0.522613644455269,3,0.5175897174514872,0.03586816498627549,0.01217295809836997,0.0299816694120633,13,0.8287375091519293,238,,PRUNED
7,68.71660932763034,2026-07-16 11:12:37.391672,2026-07-16 11:12:41.543592,0 days 00:00:04.151920,0.9010984903770198,1,0.4845545349848576,8.862326508576253,1.2273800987852967,0.014558505116213708,57,0.1987156815341724,94,,PRUNED
8,68.84536948833559,2026-07-16 11:12:41.543592,2026-07-16 11:12:51.789566,0 days 00:00:10.245974,0.8856351733429728,1,0.8374043008245924,0.02715581955282941,0.0029072088906598446,0.0050834018700114374,72,0.8631034258755935,214,,PRUNED
9,68.99881037171927,2026-07-16 11:12:51.789566,2026-07-16 11:12:55.043591,0 days 00:00:03.254025,0.6625916610133735,6,0.5865893930293973,0.35500125258511606,3.53875886477924,0.03235188302117385,11,0.4722149251619493,105,,PRUNED
