number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iter,state
0,69.78028722284822,2026-07-16 11:28:40.446792,2026-07-16 11:29:01.627101,0 days 00:00:21.180309,0.4936111842654619,4.330880728874676,0.015355286838886862,12,14.907884894416696,0.004207053950287938,0.0017073967431528124,0.7993292420985183,267.0,COMPLETE
1,71.78993356500435,2026-07-16 11:29:01.627101,2026-07-16 11:29:20.934416,0 days 00:00:19.307315,0.899465584480253,0.9170225492671691,0.03027182927734624,10,1.3911053916202465,0.0070689749506246055,0.005337032762603957,0.9849549260809971,129.0,COMPLETE
2,68.49529713333108,2026-07-16 11:29:20.934416,2026-07-16 11:29:36.603873,0 days 00:00:15.669457,0.7671117368334277,1.8318092164684585,0.012439367209907218,8,9.206955354200199,0.003613894271216527,0.01474275315991467,0.645614570099021,343.0,COMPLETE
3,70.21535487253098,2026-07-16 11:29:36.603873,2026-07-16 11:29:58.571731,0 days 00:00:21.967858,0.7554487413172255,0.8526206184364576,0.019603369861210685,11,4.793801861008835,0.0015339162591163618,0.26926469100861794,0.7571172192068059,210.0,COMPLETE
4,69.70898278472015,2026-07-16 11:29:58.571731,2026-07-16 11:30:39.732019,0 days 00:00:41.160288,0.5827682615040224,2.2007624686980067,0.0060758085133366885,12,19.347008628416628,0.002458603276328005,0.5456725485601477,0.9041986740582306,692.0,COMPLETE
5,69.03992079030819,2026-07-16 11:30:39.732019,2026-07-16 11:31:05.427709,0 days 00:00:25.695690,0.5552679889600102,2.600340105889054,0.007206848764305203,8,1.6533819011891495,0.4467752817973907,0.017654048052495083,0.954660201039391,550.0,COMPLETE
6,67.06610519650353,2026-07-16 11:31:05.427709,2026-07-16 11:31:11.675586,0 days 00:00:06.247877,0.9636993649385135,4.609371175115584,0.025719142025384646,5,19.422107927526614,3.7958531426706403,0.24637685958997463,0.8875664116805573,162.0,COMPLETE
7,66.9812920516451,2026-07-16 11:31:11.675586,2026-07-16 11:31:27.843847,0 days 00:00:16.168261,0.6332063738136893,1.7837666334679465,0.006517805612564439,5,1.8593184893002233,0.01217295809836997,2.0651425578959257,0.6626651653816322,678.0,COMPLETE
8,68.62070321826656,2026-07-16 11:31:27.843847,2026-07-16 11:31:44.188029,0 days 00:00:16.344182,0.44473038620786254,0.993578407670862,0.011600433752378412,8,3.6775602745204905,8.862326508576253,1.2273800987852967,0.9010984903770198,374.0,COMPLETE
9,70.01179181089739,2026-07-16 11:31:44.188029,2026-07-16 11:32:17.188063,0 days 00:00:33.000034,0.8627622080115674,0.5793452976256486,0.0050834018700114374,11,14.430289533104725,0.0019777828512462727,0.02715581955282941,0.8645035840204937,,PRUNED
